CustomerID,Age,Gender,Region,Annual_Income,Membership_Type,Membership_Years,Device_Preference,Avg_Session_Length_Min,App_Usage_Hours_Week,Website_Usage_Hours_Week,Num_Purchases_Last_Year,Customer_Satisfaction,Days_Since_Last_Purchase,Email_Engagement_Rate,Annual_Spending
36,34,Male,North,56852.4,Platinum,8.12,Mobile App,22.91,3.0,1.11,18,,0.4,0.243,8390.97
37,41,Male,North,63460.49,Silver,0.4,Both,32.9,2.46,4.79,19,6.63,7.9,0.41,6618.81
38,40,Male,South,48876.24,Gold,1.55,Mobile App,26.03,1.04,0.91,13,7.88,2.7,0.323,6047.97
39,18,Male,North,49767.93,Silver,0.52,Both,30.14,2.48,3.12,14,7.3,27.5,0.25,5615.97
40,28,Female,North,98476.84,Gold,3.83,Website,21.03,0.42,1.94,11,7.01,24.6,0.46,7549.39
41,37,Male,West,139901.15,Platinum,0.65,Mobile App,35.78,2.06,2.3,18,10.0,14.7,0.122,9113.69
42,34,Female,South,35542.04,Basic,2.28,Mobile App,17.3,4.71,2.66,14,7.03,6.3,0.278,4742.85
43,41,Female,South,34863.13,Basic,4.17,Both,48.21,7.78,2.0,12,7.2,5.3,0.517,5938.23
44,50,Male,North,38754.28,Silver,2.51,Mobile App,48.14,6.96,1.69,16,6.74,107.1,0.391,6533.68
45,34,Female,South,52252.82,Silver,3.31,Mobile App,42.69,1.19,0.25,12,7.65,42.4,0.461,5647.67
46,26,Female,North,74126.12,Silver,0.17,Both,39.48,0.76,3.75,8,7.47,32.3,0.275,5948.69
47,42,Male,East,66631.89,Basic,2.07,Mobile App,27.24,3.21,0.53,15,6.14,8.8,0.679,6245.48
48,34,Male,North,,Silver,1.27,Mobile App,38.5,2.86,1.34,18,7.05,7.8,0.542,6629.08
49,36,Female,West,65194.31,Silver,1.27,Mobile App,27.13,4.24,2.43,13,8.39,11.2,0.649,6698.66
50,35,Male,West,42521.7,Silver,3.1,Both,14.02,1.69,0.64,19,8.94,69.0,0.513,6200.92
51,63,Male,North,49739.62,Gold,4.33,Mobile App,41.53,2.92,1.69,15,7.63,20.1,0.112,6881.28
52,18,Male,North,53796.67,Gold,1.02,Mobile App,38.16,2.81,3.44,18,7.68,9.4,0.438,6723.99
53,34,Female,North,31117.46,Silver,4.09,Mobile App,27.72,2.12,1.32,16,7.13,1.4,0.182,5606.87
54,38,Female,East,36081.71,Gold,4.46,Mobile App,16.97,0.59,1.71,9,6.95,40.3,0.171,5283.15
55,29,Female,North,36587.13,Silver,0.42,Mobile App,22.72,4.67,0.78,15,6.4,28.8,0.366,5960.97
56,48,Female,West,70787.51,Silver,9.93,Mobile App,11.61,3.23,1.46,16,5.58,25.7,0.259,6464.09
57,47,Male,East,59034.32,Silver,5.23,Mobile App,36.51,4.89,0.54,7,6.69,11.8,0.165,5954.99
58,37,Female,West,67095.44,Basic,7.81,Mobile App,13.57,5.7,2.21,17,8.78,12.6,0.066,6040.65
59,35,Male,East,28456.18,Basic,1.91,Both,30.58,2.63,0.41,13,7.05,15.3,0.214,4765.43
60,37,Male,West,32233.18,Silver,0.93,Mobile App,20.41,4.69,1.07,22,7.15,45.2,0.448,5611.37
61,37,Female,North,68331.45,Platinum,0.15,Mobile App,15.16,7.9,1.95,12,7.12,0.6,0.036,7486.82
62,37,Male,South,20485.36,Gold,5.45,Both,30.15,9.58,1.59,15,9.22,4.3,0.105,6725.19
63,36,Female,South,83168.19,Basic,11.53,Both,25.0,3.52,2.54,20,6.39,50.1,0.224,7462.63
64,41,Female,West,28619.37,Silver,2.77,Website,35.54,3.71,1.72,8,7.96,9.4,0.378,5456.16
65,46,Female,East,72778.13,Basic,1.9,Mobile App,16.59,3.47,0.25,19,7.51,7.0,0.307,6074.5
66,24,Female,West,39695.59,Gold,3.31,Mobile App,21.18,4.14,0.63,15,7.69,16.7,0.151,5744.13
67,26,Female,North,78207.15,Gold,0.29,Mobile App,6.51,5.53,1.88,11,7.92,1.8,0.126,6167.01
68,19,Male,West,166517.61,Silver,0.77,Mobile App,8.34,3.42,4.13,13,7.67,15.9,0.234,7718.41
69,48,Male,South,24450.06,Silver,2.55,Mobile App,44.18,9.22,3.61,12,8.63,19.7,0.454,6118.08
70,41,Male,South,69104.97,Basic,2.14,Website,46.75,8.39,10.7,6,7.56,17.8,0.337,6179.37
71,44,Male,West,28771.57,Silver,8.72,Mobile App,28.83,2.99,1.19,13,9.87,7.1,0.461,6130.06
72,22,Male,South,62904.26,Gold,2.3,Website,20.59,2.98,3.35,15,7.66,20.9,0.544,6801.79
73,58,Female,South,50394.12,Gold,1.23,Mobile App,25.31,2.0,3.18,10,5.39,43.4,0.569,5540.44
74,31,Male,East,56694.01,Silver,1.48,Mobile App,35.86,4.3,5.66,13,8.43,66.2,0.247,5838.79
75,40,Male,North,39375.92,Silver,3.02,Both,23.37,2.27,4.62,9,8.11,0.1,0.282,5292.61
76,47,Male,South,71195.82,Basic,0.44,Both,30.14,1.92,2.34,17,7.64,24.4,0.374,5877.51
77,27,Male,North,32632.85,Basic,1.16,Mobile App,27.89,4.23,2.96,15,7.26,41.2,0.2,5260.76
78,32,Female,North,83664.75,Basic,1.0,Website,22.88,1.13,2.54,10,4.85,2.1,0.513,5349.71
79,40,Female,West,46946.43,Silver,8.15,Mobile App,23.26,5.6,1.82,14,5.07,30.9,0.521,6294.3
80,69,Female,East,33158.63,Platinum,1.2,Mobile App,30.64,4.35,2.8,16,9.74,53.5,0.496,7769.15
81,41,Female,South,94677.14,Silver,0.95,Both,19.21,8.11,2.15,9,6.84,6.8,0.274,6394.0
82,56,Male,South,52914.36,Basic,0.53,Mobile App,32.07,3.56,2.08,9,8.86,32.6,0.611,5575.42
83,51,Female,South,105627.35,Basic,1.82,Mobile App,23.76,4.82,5.85,12,5.52,85.8,0.322,6333.09
84,42,Male,East,83072.97,Basic,0.11,Website,29.15,5.25,2.38,15,6.24,9.3,0.069,5383.8
85,27,Male,West,40972.2,Gold,3.08,Mobile App,40.46,6.6,2.01,14,8.48,1.9,0.451,6690.09
86,50,Male,West,52588.54,Silver,3.45,Mobile App,26.49,3.28,1.63,17,,16.6,0.487,6380.16
87,22,Female,South,56520.76,Gold,0.36,Mobile App,36.28,1.98,1.52,17,8.3,39.7,0.109,6498.65
88,56,Male,South,92429.93,Gold,0.1,Both,11.87,3.62,0.61,16,7.58,2.6,0.104,7151.71
89,40,Male,South,63141.35,Basic,1.24,Website,23.77,5.59,1.82,12,7.33,38.2,0.179,5636.2
90,18,Female,East,57624.46,Silver,10.54,Mobile App,28.25,6.09,4.28,18,6.72,81.1,0.315,7058.13
91,34,Male,South,50515.84,Platinum,6.3,Mobile App,45.31,0.6,1.16,19,6.05,108.1,0.229,7221.06
92,45,Female,East,53226.15,Silver,4.24,Website,10.36,14.86,0.13,8,9.42,55.7,0.21,6031.69
93,35,Male,East,85528.7,Basic,5.33,Mobile App,27.13,1.93,2.72,15,9.64,44.4,0.298,6550.57
94,46,Male,South,54246.67,Platinum,6.35,Website,41.11,4.88,2.22,13,6.25,4.5,0.104,7339.76
95,29,Male,South,47181.21,Platinum,1.23,Both,20.93,7.09,5.78,12,6.16,28.3,0.13,6962.46
96,24,Female,South,44463.44,Silver,1.94,Mobile App,26.08,2.79,1.05,16,7.15,5.3,0.052,5396.01
97,37,Male,North,44630.92,Silver,3.83,Mobile App,30.99,6.25,0.54,8,8.04,24.7,0.386,5505.47
98,38,Male,North,33165.53,Basic,0.93,Mobile App,29.66,0.59,1.56,16,7.36,7.9,0.184,5147.9
99,34,Male,East,41663.0,Gold,7.59,Mobile App,42.09,6.41,1.36,13,8.25,5.6,0.511,6803.42
100,52,Female,South,91532.29,Silver,3.0,Mobile App,32.04,5.89,0.33,13,7.54,90.4,0.481,6741.2
101,29,Female,North,50397.17,Basic,2.67,Both,39.95,3.94,2.02,11,7.45,22.2,0.409,6027.82
102,41,Female,East,69323.84,Gold,1.35,Mobile App,24.76,5.6,1.26,11,10.0,20.2,0.393,7109.55
103,39,Male,East,22752.61,Platinum,0.3,Website,21.34,8.54,5.04,14,6.92,26.4,0.154,6386.18
104,21,Female,North,66099.0,Gold,3.51,Website,25.97,7.24,2.05,17,9.73,36.1,0.374,7817.72
105,23,Female,West,51201.63,Basic,3.97,Mobile App,17.57,2.92,0.93,11,9.48,7.3,0.373,5319.89
106,38,Female,West,45775.12,Basic,7.11,Mobile App,32.35,3.59,1.85,16,8.26,31.2,0.195,5452.86
107,60,Male,East,57718.67,Platinum,2.72,Mobile App,24.53,2.56,2.18,18,5.1,48.8,0.186,7372.21
108,44,Male,East,45545.23,Platinum,3.33,Website,21.95,2.31,2.92,13,7.64,6.4,0.657,6832.72
109,19,Male,North,,Silver,3.85,Mobile App,32.49,5.23,1.92,10,6.93,32.0,0.394,5087.93
110,18,Female,West,74815.98,Silver,2.78,Both,17.71,2.54,7.4,20,7.63,14.7,0.18,6809.25
111,46,Male,South,58986.04,Silver,1.34,Both,34.93,5.22,0.59,10,6.22,18.1,0.248,5515.75
112,37,Male,West,48538.87,Silver,2.55,Both,23.69,2.79,1.24,13,8.58,9.3,0.099,5717.35
113,51,Male,East,38631.96,Basic,0.65,Both,38.43,3.1,0.93,14,8.88,10.5,0.076,4958.78
114,28,Female,North,32388.21,Basic,0.61,Both,24.47,1.53,1.41,13,9.12,6.4,0.294,5206.23
115,42,Male,North,58592.53,Basic,9.02,Both,33.69,5.13,2.4,16,7.1,4.6,0.092,6167.28
116,47,Female,East,95292.3,Gold,0.68,Both,29.62,0.56,2.27,12,6.22,30.2,0.206,7099.15
117,33,Female,East,58169.02,Basic,1.94,Both,34.7,6.57,2.87,12,8.06,16.9,0.199,5759.54
118,33,Female,North,33390.72,Basic,1.93,Both,28.99,11.56,2.04,12,9.88,1.4,0.223,6323.59
119,38,Male,East,58617.63,Silver,2.47,Both,13.03,3.18,2.14,11,7.69,11.1,0.075,5271.18
120,44,Female,West,53174.27,Basic,11.57,Website,37.08,3.08,2.07,9,8.19,23.0,0.207,6510.22
121,38,Female,South,73307.29,Basic,0.91,Website,27.21,0.77,1.3,12,7.29,10.1,0.502,5152.23
122,49,Female,South,66993.88,Silver,0.12,Website,35.11,2.03,1.22,16,6.95,72.1,,5254.3
123,33,Male,North,19052.66,Silver,1.38,Both,34.21,5.65,0.91,18,8.46,41.1,0.246,5618.43
124,23,Male,West,65567.46,Silver,1.42,Mobile App,21.04,6.19,2.98,17,7.46,55.7,0.249,6364.8
125,60,Male,South,38130.97,Platinum,0.45,Both,19.77,3.48,0.17,15,8.12,34.6,0.046,6775.95
126,31,Female,West,32938.42,Basic,0.1,Both,33.9,5.42,2.1,12,8.26,17.3,0.26,5364.18
127,32,Male,South,50717.91,Platinum,1.04,Both,25.27,1.55,3.4,9,8.05,25.0,0.215,6816.98
128,37,Male,East,62557.4,Platinum,2.77,Mobile App,36.43,4.07,4.07,12,8.33,26.4,0.146,7391.02
129,39,Male,North,30507.96,Gold,0.1,Both,26.4,7.69,0.1,19,6.49,12.8,0.22,6410.36
130,34,Female,North,69327.83,Silver,1.58,Both,37.21,4.63,1.34,9,6.41,9.4,0.387,6192.14
131,38,Male,East,70768.45,Silver,1.86,Both,31.81,8.45,0.97,19,7.54,6.5,0.349,6837.57
132,38,Female,South,55074.48,Silver,6.76,Both,30.59,8.62,1.24,8,7.58,45.7,0.088,6113.36
133,40,Female,East,39987.88,Gold,7.2,Website,24.63,4.25,4.69,18,6.92,11.3,0.254,6762.51
134,18,Male,West,38453.99,Basic,4.61,Website,30.09,0.05,0.97,10,7.91,9.8,0.398,5076.46
135,59,Female,West,77580.88,Platinum,1.51,Mobile App,38.74,6.1,3.4,23,8.78,25.9,0.611,9122.98
136,36,Male,West,31922.68,Silver,0.88,Both,27.51,1.04,2.13,13,9.14,3.7,0.196,5054.06
137,44,Female,North,78634.41,Gold,1.23,Mobile App,32.78,0.17,1.19,12,9.44,10.6,0.328,6767.85
138,23,Female,East,51132.74,Silver,1.8,Both,28.42,0.47,1.09,17,5.89,24.0,0.085,5837.07
139,33,Female,West,52389.31,Basic,3.89,Both,29.12,6.39,2.3,19,6.09,49.7,0.335,5866.57
140,31,Male,South,29797.19,Silver,2.79,Mobile App,43.51,4.28,1.77,19,7.22,0.2,0.438,6327.05
141,54,Female,North,51464.58,Silver,0.1,Mobile App,38.82,3.55,0.3,12,7.7,35.7,0.434,5628.12
142,32,Female,West,67154.75,Silver,2.55,Mobile App,28.71,4.56,0.77,16,7.29,7.7,0.411,6540.74
143,46,Female,South,33936.84,Basic,5.12,Both,29.93,0.51,2.35,16,6.88,49.9,0.257,5273.72
144,31,Female,East,64506.58,Basic,7.81,Website,21.68,2.55,0.56,14,7.2,6.2,0.251,6144.74
145,33,Male,West,55890.76,Silver,0.22,Mobile App,26.44,1.78,3.75,15,8.23,27.5,0.303,5972.22
146,35,Male,East,43247.1,Silver,16.99,Both,30.78,3.35,0.4,14,5.87,29.3,0.433,6986.35
147,52,Male,South,73067.25,Platinum,2.47,Mobile App,35.66,3.44,1.49,6,10.0,28.4,0.349,7456.33
148,18,Female,South,25064.56,Basic,0.23,Both,34.74,4.43,3.05,18,7.63,26.6,0.597,5756.88
149,24,Male,South,61165.48,Basic,4.14,Mobile App,18.02,4.9,0.71,18,8.97,35.7,0.477,5911.68
150,18,Male,North,95492.43,Basic,6.37,Mobile App,36.79,0.54,0.52,14,6.85,39.2,0.367,5938.87
151,26,Female,West,89677.94,Silver,1.15,Mobile App,27.2,2.58,2.65,19,8.35,29.5,0.474,6466.01
152,29,Female,West,62095.72,Silver,0.83,Website,19.12,3.03,3.47,12,7.73,19.8,0.108,4901.95
153,20,Male,South,48747.62,Silver,1.36,Website,40.03,1.01,1.58,18,8.71,11.5,0.442,5945.5
154,30,Female,South,43367.65,Platinum,3.05,Both,41.17,0.91,1.3,15,,14.1,0.312,7760.43
155,18,Male,West,48726.39,Basic,1.11,Website,30.37,0.47,0.38,9,9.62,1.5,0.533,4367.55
156,27,Female,North,65534.54,Gold,0.36,Mobile App,34.38,0.79,1.98,10,5.66,9.7,0.244,5771.93
157,51,Male,East,40841.94,Basic,1.52,Mobile App,34.91,5.4,0.25,18,8.83,22.1,0.216,5737.5
158,42,Female,South,70622.1,Basic,1.02,Mobile App,40.56,0.64,4.74,13,7.75,25.9,0.523,6369.21
159,40,Female,East,114302.78,Silver,2.57,Both,34.55,0.76,1.65,19,6.28,43.8,0.108,6928.06
160,27,Female,North,53015.57,Basic,5.37,Mobile App,16.05,3.25,0.78,15,10.0,2.9,0.215,6070.32
161,21,Male,East,33842.13,Silver,1.67,Both,46.09,4.06,1.08,15,10.0,52.1,0.452,5929.08
162,25,Female,South,33837.99,Gold,7.38,Mobile App,37.59,2.96,2.1,16,4.9,12.7,0.259,6939.99
163,38,Male,East,71096.82,Gold,3.4,Mobile App,23.41,1.2,1.25,8,7.83,9.6,0.289,6334.73
164,48,Male,North,53055.24,Silver,2.08,Mobile App,18.73,0.93,1.83,14,8.52,21.8,0.585,6097.65
165,48,Female,South,73636.11,Silver,3.87,Mobile App,32.54,3.19,0.68,17,8.17,75.8,0.334,6569.76
166,45,Male,East,44946.49,Silver,5.44,Both,25.5,2.72,4.13,18,9.57,11.8,0.318,6522.01
167,30,Female,North,72454.8,Basic,3.28,Website,30.97,2.22,1.1,17,9.3,25.3,0.222,6353.38
168,38,Female,North,51256.38,Basic,0.32,Mobile App,34.69,5.24,0.16,14,7.94,60.3,,4922.79
169,34,Male,North,41924.41,Gold,0.1,Website,22.9,2.59,1.34,16,10.0,1.0,0.025,5367.7
170,36,Female,South,47082.21,Platinum,5.13,Website,17.96,0.85,0.95,18,8.82,15.0,0.423,7308.36
171,60,Male,North,35633.13,Basic,0.36,Both,31.47,2.23,3.93,15,7.14,13.0,0.144,5402.77
172,19,Female,West,108692.26,Silver,2.49,Both,23.2,4.38,0.79,11,6.88,30.6,0.058,6292.11
173,35,Male,South,52379.28,Gold,0.32,Website,29.31,2.47,1.23,13,9.22,49.8,0.234,5827.5
174,51,Female,West,67885.65,Gold,7.82,Both,15.91,4.33,2.15,16,6.57,22.9,0.411,7104.24
175,22,Male,West,44895.63,Silver,1.25,Both,25.73,4.94,2.88,11,7.07,91.0,0.229,5371.78
176,31,Male,North,37489.84,Silver,3.19,Website,34.43,2.59,4.96,18,7.29,67.5,0.229,5809.19
177,32,Male,East,49918.24,Gold,0.92,Both,33.45,2.95,0.85,20,8.06,24.1,0.657,6982.53
178,36,Female,West,79651.6,Gold,2.38,Mobile App,20.9,2.35,4.58,14,7.35,16.5,0.125,6779.57
179,20,Female,East,45149.92,Basic,0.1,Both,17.49,4.4,3.83,21,5.89,7.6,0.076,4887.91
180,45,Female,South,39947.2,Platinum,0.96,Both,28.14,2.29,0.94,13,9.11,0.5,0.354,6722.87
181,45,Female,South,57205.91,Basic,4.34,Mobile App,33.05,4.1,0.84,15,7.07,20.8,0.102,5642.29
182,44,Female,North,64515.31,Gold,1.53,Both,31.65,3.48,2.52,18,10.0,47.0,0.056,7244.88
183,28,Female,East,96278.17,Basic,2.01,Both,23.39,0.47,1.8,15,8.0,4.0,0.399,6559.52
184,39,Male,West,61317.02,Basic,4.28,Mobile App,30.68,4.26,2.51,10,9.25,15.2,0.243,5751.76
185,28,Female,West,67873.26,Basic,0.93,Website,41.52,3.25,1.38,13,8.42,1.7,0.425,5995.49
186,34,Female,North,69685.42,Silver,0.19,Both,29.85,6.74,1.95,14,9.31,45.7,0.197,6821.28
187,62,Male,East,36186.62,Basic,1.52,Both,13.3,1.05,1.66,15,8.34,34.5,0.083,4789.0
188,39,Male,South,38670.56,Basic,3.3,Mobile App,29.83,3.52,2.48,11,7.91,1.9,0.114,5068.14
189,25,Female,West,37072.71,Silver,2.71,Mobile App,46.4,2.04,0.81,13,9.02,0.1,0.486,5875.05
190,40,Male,North,33987.53,Silver,5.26,Website,16.41,0.53,2.07,22,10.0,5.7,0.313,6069.87
191,23,Female,West,71568.55,Gold,9.42,Mobile App,28.27,0.37,4.89,13,7.25,55.1,0.333,7174.15
192,25,Male,West,59965.07,Platinum,5.91,Mobile App,25.96,7.65,4.69,23,8.63,72.2,0.251,8964.13
193,27,Male,North,55704.91,Gold,0.74,Mobile App,28.86,3.53,2.26,22,7.59,10.2,0.124,6959.41
194,33,Female,North,21862.96,Basic,4.68,Mobile App,29.75,2.53,0.79,10,8.26,30.2,0.282,5064.91
195,48,Male,West,111236.84,Basic,3.35,Website,38.26,0.71,6.58,18,7.65,34.4,0.687,7282.56
196,44,Male,North,39616.65,Platinum,2.19,Website,28.76,7.35,2.49,12,4.79,18.7,0.161,6472.78
197,44,Female,East,111094.28,Basic,0.95,Website,39.5,1.63,6.13,9,7.34,8.1,0.575,6774.44
198,26,Female,West,32622.76,Silver,4.42,Both,26.94,3.65,2.56,11,8.9,4.7,0.413,6087.77
199,32,Male,East,40768.28,Platinum,1.47,Mobile App,24.85,3.16,0.08,12,6.61,19.2,0.551,7203.74
200,41,Male,South,25059.36,Platinum,0.1,Mobile App,21.98,9.65,6.55,10,8.8,16.1,0.642,6561.9
201,31,Female,South,61497.0,Silver,3.86,Mobile App,11.65,2.9,3.44,16,7.84,4.1,0.149,6564.28
202,35,Female,North,36848.13,Gold,1.04,Mobile App,30.48,1.94,1.89,16,7.35,53.6,0.084,5890.55
203,43,Female,West,37214.36,Silver,5.94,Mobile App,46.49,3.57,0.28,16,8.78,1.1,0.417,6758.5
204,34,Male,South,33510.7,Gold,6.29,Mobile App,32.12,3.85,3.72,18,8.49,0.7,0.39,6465.92
205,40,Male,North,71116.47,Basic,0.43,Mobile App,34.18,14.04,2.55,19,8.15,3.1,0.115,6855.03
206,56,Male,South,69495.15,Basic,5.19,Mobile App,24.28,2.86,7.86,11,8.92,37.3,0.475,6577.41
207,36,Male,West,102151.46,Silver,1.38,Website,25.8,1.02,5.72,14,7.86,3.6,0.366,6376.88
208,51,Female,North,42616.75,Basic,1.05,Website,36.86,2.22,6.01,18,5.46,2.1,0.299,4770.5
209,44,Male,West,58488.58,Gold,1.93,Both,46.08,3.56,2.21,10,7.11,0.3,0.092,6492.37
210,22,Female,East,34500.62,Silver,0.87,Both,41.39,4.04,2.13,12,5.25,0.2,0.531,5478.26
211,26,Female,West,48181.79,Platinum,1.02,Website,35.25,0.64,2.57,12,8.45,13.9,0.677,7464.97
212,29,Female,West,45179.74,Gold,2.63,Mobile App,28.32,2.01,1.03,8,8.77,7.6,0.277,5816.01
213,29,Male,West,63739.36,Silver,1.78,Website,29.89,9.29,1.93,15,8.82,52.8,0.306,6265.27
214,37,Female,West,77339.31,Gold,6.37,Mobile App,21.22,1.37,1.63,12,8.24,7.4,0.236,7149.42
215,45,Female,North,76639.92,Basic,3.23,Mobile App,14.97,5.32,4.48,17,8.86,14.5,0.394,7011.8
216,52,Female,West,40336.65,Silver,4.9,Mobile App,17.86,2.28,5.15,16,5.55,54.5,0.037,5228.56
217,41,Male,East,76838.71,Basic,1.37,Mobile App,28.45,2.99,3.12,19,7.46,18.4,0.249,6455.88
218,33,Male,East,53346.85,Gold,4.33,Mobile App,25.37,0.73,0.88,17,5.76,27.6,0.447,6255.5
219,18,Female,West,48358.2,Gold,4.45,Website,14.78,2.45,6.84,11,7.13,72.3,0.182,5676.61
220,39,Male,West,42277.95,Platinum,6.15,Both,27.66,3.53,3.71,16,9.7,23.7,0.518,8279.71
221,38,Male,East,44534.63,Platinum,1.16,Both,25.13,2.89,2.43,13,9.02,6.7,0.643,7692.52
222,40,Female,South,99688.92,Platinum,0.23,Website,17.44,2.57,2.9,17,8.46,3.3,0.504,8300.14
223,61,Female,South,60330.54,Basic,2.3,Website,24.67,4.41,0.47,14,7.36,1.3,0.276,5261.08
224,52,Female,South,57590.57,Platinum,0.1,Mobile App,25.11,0.93,1.63,16,6.31,2.5,0.401,6653.07
225,47,Male,South,49425.1,Silver,8.08,Both,22.45,3.65,4.76,14,7.84,27.1,0.193,6284.05
226,27,Female,South,127528.16,Silver,0.22,Website,36.34,0.33,0.45,12,9.04,13.8,0.765,7473.6
227,32,Male,North,85541.22,Silver,2.17,Mobile App,10.87,6.34,0.43,17,8.13,3.1,0.098,6680.5
228,37,Female,North,42092.64,Basic,5.21,Mobile App,10.13,2.64,3.72,17,5.54,8.7,0.672,5835.76
229,29,Female,East,49228.83,Basic,1.33,Both,28.03,5.08,2.75,19,7.74,15.3,0.498,6080.81
230,44,Male,South,50262.49,Basic,4.58,Website,28.87,0.1,0.45,14,5.11,12.2,0.128,4799.53
231,42,Male,West,57014.17,Basic,3.56,Website,31.64,4.61,1.51,20,8.65,18.1,0.449,6005.13
232,26,Male,East,42385.89,Silver,0.47,Website,23.15,1.58,2.43,15,6.7,1.9,0.309,5245.55
233,51,Female,North,63170.06,Platinum,3.67,Mobile App,19.74,3.0,2.21,11,6.01,79.6,0.237,7329.28
234,39,Female,North,90059.95,Silver,1.74,Website,27.93,4.66,2.58,18,8.66,43.7,0.231,6792.73
235,19,Female,North,34208.53,Silver,1.27,Mobile App,24.03,2.8,1.41,12,8.33,24.5,0.24,5243.7
236,37,Female,West,36502.96,Silver,3.45,Mobile App,41.96,4.28,2.3,9,7.9,36.8,0.317,5146.8
237,41,Male,North,45747.6,Silver,6.69,Website,25.08,2.3,3.12,11,10.0,99.8,0.619,6124.45
238,49,Female,South,46496.0,Basic,6.23,Mobile App,27.52,6.67,2.94,10,8.43,12.8,0.049,5626.41
